PassengerID,TrainName,Name,Gender,Age,Profession,Class,TicketPrice,TrainCar,SeatNumber,MaritalStatus,NumberOfChildren,CompanionCount,BaggageWeight,MealPreference,Station,ArrivalTime,DepartureTime,who,FamilySize
33,Shalimar Express,Fatima Asghar Sheikh,Female,19,Doctor,Economy,3588,Coach-12,S-94,Married,1,2,24.65,Karahi,Khudian,8:45,8:47,Female,4
34,Shalimar Express,Zain Hussain Siddiqui,Male,78,Police Officer,Economy,6888,Coach-16,S-77,Single,4,1,26.69,Biryani,Mailsi,14:25,14:30,Male,5
35,Shalimar Express,Ahmed Iqbal Jutt,Male,78,Artist,Economy,3588,Coach-10,S-47,Single,1,4,30.38,Daal Chaawal,Raiwind Jn.,7:10,7:15,Male,5
36,Shalimar Express,Ahmed Hussain Rana,Female,76,Doctor,AC Business,6888,Coach-5,S-90,Married,4,0,36.47,Nihari,Pakpattan,11:20,11:35,Female,5
37,Shalimar Express,Zain Jamal Bhatti,Female,25,Teacher,Economy,6888,Coach-8,S-84,Single,0,0,19.72,Paratha Roll,Walton,6:32,6:34,Female,0
38,Shalimar Express,Sara Saeed Qureshi,Female,64,Artist,Economy,6888,Coach-9,S-13,Married,3,3,25.23,Karahi,Rahim Yar Khan,19:32,19:34,Female,7
39,Shalimar Express,Bilal Murtaza Khan,Female,63,Businessperson,Economy,3588,Coach-13,S-8,Married,4,1,38.63,Karahi,Mahrabpur,0:11,0:13,Female,6
40,Shalimar Express,Ahmed Hussain Rana,Female,49,Teacher,AC Business,3588,Coach-20,S-6,Married,2,1,18.77,Paratha Roll,Lahore Jn.,-,6:15,Female,4
41,Shalimar Express,Sara Jamal Qureshi,Male,79,Doctor,Economy,6888,Coach-19,S-80,Married,0,1,46.73,Nihari,Gagoo,12:38,12:40,Male,2
42,Shalimar Express,Ayesha Saeed Rana,Male,16,Lawyer,AC Business,6888,Coach-12,S-51,Married,2,3,34,Biryani,Mubarakpur,17:25,17:27,Child,6
43,Shalimar Express,Hira Murtaza Bhatti,Male,25,Businessperson,Economy,6888,Coach-20,S-44,Married,4,0,45.53,Daal Chaawal,Mir Pur Mathelo,20:47,20:49,Male,5
44,Shalimar Express,Sara Asghar Bhatti,Female,43,Doctor,Economy,3588,Coach-12,S-70,Married,1,1,26.16,Daal Chaawal,Rahim Yar Khan,19:32,19:34,Female,3
45,Shalimar Express,Amir Hussain Khan,Male,65,Police Officer,AC Business,6888,Coach-13,S-17,Single,1,3,31.04,Biryani,Basirpur,10:03,10:05,Male,4
46,Shalimar Express,Ayesha Rizwan Sheikh,Male,79,Artist,AC Business,6888,Coach-6,S-52,Married,1,2,36.71,Biryani,Lodhran Jn.,15:57,15:59,Male,4
47,Shalimar Express,Hira Saeed Sheikh,Female,45,Businessperson,Economy,3588,Coach-18,S-52,Married,1,2,34.15,Daal Chaawal,Hyderabad Jn,4:50,5:00,Female,4
48,Shalimar Express,Sara Rizwan Siddiqui,Male,65,Farmer,AC Business,3588,Coach-7,S-79,Married,4,4,19.68,Karahi,Haveli Wasawewala,10:30,10:32,Male,9
49,Shalimar Express,Sara Rizwan Khan,Male,54,Farmer,AC Business,6888,Coach-20,S-12,Married,2,4,38.7,Daal Chaawal,Mir Pur Mathelo,20:47,20:49,Male,7
50,Shalimar Express,Ahmed Asghar Sheikh,Male,9,Artist,AC Business,3588,Coach-2,S-82,Single,4,3,33.57,Nihari,Karore Pakka,15:10,15:15,Child,7
51,Shalimar Express,Zain Jamal Rana,Male,40,Student,AC Business,3588,Coach-13,S-18,Married,1,2,23.55,Daal Chaawal,Liaquatpur,18:16,18:18,Male,4
52,Shalimar Express,Zain Iqbal Butt,Male,38,Soldier,AC Business,6888,Coach-14,S-29,Married,2,1,45.61,Paratha Roll,,11:53,11:55,Male,4
53,Shalimar Express,Fatima Iqbal Qureshi,Male,42,Lawyer,Economy,6888,Coach-11,S-48,Married,2,4,22.65,Biryani,Mandi Burewala,12:55,13:00,Male,7
54,Shalimar Express,Hira Murtaza Sheikh,Male,20,Lawyer,AC Business,3588,Coach-12,S-14,Married,0,1,41.62,Biryani,Mandi Ahmadabad,9:41,9:43,Male,2
55,Shalimar Express,Noor Raza Chaudhry,Female,78,Teacher,AC Business,3588,Coach-7,S-36,Single,3,4,48.33,Biryani,Jamrani Wah,15:37,15:39,Female,7
56,Shalimar Express,Amir Hussain Qureshi,Female,53,Teacher,AC Business,6888,Coach-3,S-2,Single,0,4,10.71,Daal Chaawal,Walton,6:32,6:34,Female,4
57,Shalimar Express,Sara Asghar Bhatti,Female,6,Lawyer,AC Business,6888,Coach-3,S-51,Single,1,4,30.82,Karahi,Dera Nawab Sahib,17:43,17:45,Child,5
58,Shalimar Express,Ayesha Iqbal Jutt,Male,42,Farmer,Economy,6888,Coach-10,S-17,Single,3,3,22.27,Karahi,Murad Chishti,11:53,11:55,Male,6
59,Shalimar Express,Sara Hussain Chaudhry,Female,8,Lawyer,Economy,6888,Coach-8,S-5,Married,4,4,19.45,Karahi,Lahore Jn.,-,6:15,Child,9
60,Shalimar Express,Fatima Raza Butt,Male,32,Businessperson,Economy,3588,Coach-19,S-26,Single,0,1,27.5,Daal Chaawal,Mahrabpur,0:11,0:13,Male,1
61,Shalimar Express,Ayesha Fahad Butt,Female,28,Engineer,Economy,6888,Coach-4,S-90,Single,0,4,42.17,Karahi,Kotri Jn.,5:22,5:24,Female,4
62,Shalimar Express,Amir Hussain Qureshi,Male,29,Farmer,Economy,3588,Coach-5,S-13,Married,0,1,48.15,Karahi,Arif Wala,12:10,12:15,Male,2
63,Shalimar Express,Ayesha Iqbal Qureshi,Male,51,Businessperson,Economy,3588,Coach-8,S-8,Married,4,1,36.49,Karahi,Murad Chishti,11:53,11:55,Male,6
64,Shalimar Express,Fatima Jamal Sheikh,Male,5,Lawyer,AC Business,3588,Coach-7,S-56,Married,0,3,44.85,Biryani,Nur Shah,14:03,14:05,Child,4
65,Shalimar Express,Bilal Hussain Jutt,Male,43,Lawyer,AC Business,3588,Coach-18,S-70,Married,0,3,25.43,Biryani,Rahim Yar Khan,19:32,19:34,Male,4
66,Shalimar Express,Amir Rizwan Sheikh,Female,19,Lawyer,AC Business,6888,Coach-15,S-37,Married,0,1,37.31,Daal Chaawal,Basirpur,10:03,10:05,Female,2
67,Shalimar Express,Ali Murtaza Qureshi,Female,66,Farmer,AC Business,6888,Coach-11,S-80,Married,2,,34.9,Paratha Roll,Kot Lakhpat,6:43,6:45,Female,3
68,Shalimar Express,Fatima Saeed Qureshi,Female,67,Student,Economy,6888,Coach-18,S-26,Single,0,4,21.63,Nihari,Lahore Jn.,-,6:15,Female,4
69,Shalimar Express,Fatima Nawaz Rana,Male,68,Soldier,AC Business,3588,Coach-7,S-55,Single,2,1,12.64,Daal Chaawal,Gagoo,12:38,12:40,Male,3
70,Shalimar Express,Zain Jamal Rana,Male,70,Student,Economy,3588,Coach-3,S-20,Married,4,4,33.1,Biryani,Karachi Cantt,8:10,8:25,Male,9
71,Shalimar Express,Ahmed Hussain Qureshi,Male,67,Police Officer,Economy,3588,Coach-20,S-34,Married,0,0,13.96,Daal Chaawal,Khanpur Jn.,18:55,19:00,Male,1
72,Shalimar Express,Ali Murtaza Siddiqui,Male,60,Student,Economy,3588,Coach-14,S-47,Married,0,4,37.65,Paratha Roll,Kanganpur,9:21,9:23,Male,5
73,Shalimar Express,Fatima Raza Siddiqui,Male,30,Lawyer,AC Business,3588,Coach-4,S-36,Single,3,1,26.53,Daal Chaawal,Mailsi,14:25,14:30,Male,4
74,Shalimar Express,Hira Asghar Siddiqui,Female,32,Soldier,Economy,3588,Coach-15,S-84,Single,1,1,46.14,Paratha Roll,Dera Nawab Sahib,17:43,17:45,Female,2
75,Shalimar Express,Ayesha Jamal Jutt,Female,36,Doctor,AC Business,3588,Coach-12,S-75,Married,4,0,45.35,Karahi,,1:04,1:06,Female,5
76,Shalimar Express,Sara Murtaza Siddiqui,Female,43,Soldier,AC Business,3588,Coach-2,S-8,Single,0,2,36.42,Paratha Roll,Nawabshah Jn.,2:26,2:28,Female,2
77,Shalimar Express,Ayesha Hussain Siddiqui,Male,43,Police Officer,Economy,6888,Coach-3,S-47,Single,1,1,45.57,Biryani,Bahawalpur,16:20,16:25,Male,2
78,Shalimar Express,Sara Hussain Chaudhry,Male,71,Doctor,Economy,3588,Coach-4,S-60,Single,3,1,20.36,Daal Chaawal,Kasur Jn.,7:40,8:20,Male,4
79,Shalimar Express,Hira Murtaza Bhatti,Male,56,Businessperson,Economy,3588,Coach-11,S-7,Single,2,4,12.75,Paratha Roll,Haveli Wasawewala,10:30,10:32,Male,6
80,Shalimar Express,Hira Asghar Butt,Female,40,Police Officer,Economy,3588,Coach-7,S-64,Single,4,4,44.18,Biryani,Arif Wala,12:10,12:15,Female,8
81,Shalimar Express,Fatima Rizwan Bhatti,Male,34,Businessperson,Economy,6888,Coach-8,S-79,Single,0,2,39.15,Paratha Roll,Drigh Road,7:38,7:40,Male,2
82,Shalimar Express,Sara Saeed Malik,Female,67,Engineer,AC Business,3588,Coach-13,S-40,Single,4,4,32.37,Nihari,Landhi Jn.,7:10,7:12,Female,8
83,Shalimar Express,Ali Iqbal Qureshi,Female,24,Lawyer,Economy,6888,Coach-12,S-36,Single,1,3,11.58,Nihari,Murad Chishti,11:53,11:55,Female,4
84,Shalimar Express,Hira Murtaza Khan,Female,40,Businessperson,Economy,6888,Coach-12,S-74,Married,0,2,26.54,Biryani,Mubarakpur,17:25,17:27,Female,3
85,Shalimar Express,Hira Rizwan Rana,Female,28,Police Officer,Economy,6888,Coach-15,S-62,Single,2,4,21.49,Biryani,Bahawalpur,16:20,16:25,Female,6
86,Shalimar Express,Zain Saeed Jutt,Male,50,Teacher,AC Business,3588,Coach-16,S-2,Married,4,4,46.65,Paratha Roll,Khanpur Jn.,18:55,19:00,Male,9
87,Shalimar Express,Sara Hussain Chaudhry,Male,55,Soldier,Economy,3588,Coach-18,S-75,Single,1,0,10.97,Paratha Roll,Mubarakpur,17:25,17:27,Male,1
88,Shalimar Express,Zain Asghar Rana,Male,11,Student,Economy,6888,Coach-8,S-16,Married,1,3,43.42,Karahi,Drigh Road,7:38,7:40,Child,5
89,Shalimar Express,Amir Raza Malik,Female,35,Lawyer,AC Business,6888,Coach-9,S-57,Married,3,4,27.82,Karahi,Khanpur Jn.,18:55,19:00,Female,8
90,Shalimar Express,Ali Hussain Butt,Male,30,Artist,Economy,6888,Coach-11,S-67,Single,3,4,24.13,Karahi,Basirpur,10:03,10:05,Male,7
91,Shalimar Express,Bilal Murtaza Malik,Male,47,Student,AC Business,6888,Coach-16,S-44,Single,0,3,11.8,Paratha Roll,Landhi Jn.,7:10,7:12,Male,3
92,Shalimar Express,Amir Hussain Malik,Female,5,Doctor,AC Business,6888,Coach-7,S-71,Single,0,4,25.31,Nihari,Nawabshah Jn.,2:26,2:28,Child,4
93,Shalimar Express,Bilal Hussain Jutt,Female,32,Engineer,Economy,3588,Coach-12,S-58,Married,3,1,43.99,Nihari,Khanpur Jn.,18:55,19:00,Female,5
94,Shalimar Express,Zain Murtaza Chaudhry,Male,14,Student,Economy,3588,Coach-20,S-35,Single,3,3,48.79,Nihari,Arif Wala,12:10,12:15,Child,6
95,Shalimar Express,Bilal Jamal Rana,Male,11,Lawyer,AC Business,6888,Coach-6,S-53,Single,0,0,28.37,Daal Chaawal,Hyderabad Jn,4:50,5:00,Child,0
96,Shalimar Express,Ahmed Murtaza Chaudhry,Male,15,Engineer,AC Business,6888,Coach-15,S-58,Married,0,2,11.1,Daal Chaawal,Drigh Road,7:38,7:40,Child,3
97,Shalimar Express,Ali Asghar Jutt,Female,59,Doctor,AC Business,6888,Coach-16,S-20,Single,4,4,20.03,Daal Chaawal,Rohri Jn.,22:35,23:00,Female,8
98,Shalimar Express,Ali Murtaza Butt,Male,74,Artist,Economy,3588,Coach-13,S-24,Married,3,0,38.32,Nihari,Raiwind Jn.,7:10,7:15,Male,4
99,Shalimar Express,Hira Jamal Qureshi,Female,15,Farmer,Economy,6888,Coach-12,S-64,Married,4,3,16.65,Nihari,Mubarakpur,17:25,17:27,Child,8
100,Shalimar Express,Ayesha Murtaza Khan,Male,77,Soldier,Economy,6888,Coach-9,S-83,Married,1,0,48.64,Karahi,Vihari,13:35,13:40,Male,2
101,Shalimar Express,Ali Jamal Rana,Male,25,Soldier,AC Business,3588,Coach-13,S-100,Married,1,4,20.26,Paratha Roll,Bhiria Road,0:44,0:46,Male,6
102,Shalimar Express,Zain Iqbal Butt,Male,52,Soldier,Economy,3588,Coach-20,S-87,Single,2,1,28.05,Daal Chaawal,Nawabshah Jn.,2:26,2:28,Male,3
103,Shalimar Express,Ayesha Asghar Khan,Female,10,Businessperson,AC Business,6888,Coach-15,S-67,Married,4,2,20.1,Daal Chaawal,Tando Adam,3:56,3:58,Child,7
104,Shalimar Express,Bilal Murtaza Butt,Male,63,Police Officer,AC Business,3588,Coach-7,S-100,Single,4,4,22.08,Karahi,Rahim Yar Khan,19:32,19:34,Male,8
105,Shalimar Express,Ayesha Jamal Rana,Male,17,Teacher,Economy,3588,Coach-9,S-61,Single,2,0,12.11,Daal Chaawal,Khudian,8:45,8:47,Child,2
106,Shalimar Express,Hira Fahad Siddiqui,Female,37,Doctor,Economy,6888,Coach-14,S-97,Married,3,2,16.66,Paratha Roll,Raiwind Jn.,7:10,7:15,Female,6
107,Shalimar Express,Noor Asghar Butt,Female,64,Engineer,Economy,3588,Coach-19,S-29,Single,4,4,30.22,Nihari,Nawabshah Jn.,2:26,2:28,Female,8
108,Shalimar Express,Bilal Nawaz Khan,Female,12,Artist,AC Business,6888,Coach-4,S-46,Married,3,0,46.88,Karahi,Gagoo,12:38,12:40,Child,4
109,Shalimar Express,Fatima Saeed Chaudhry,Male,59,Doctor,AC Business,6888,Coach-12,S-74,Married,3,3,43.63,Paratha Roll,Rahim Yar Khan,19:32,19:34,Male,7
110,Shalimar Express,Ayesha Nawaz Chaudhry,Male,48,Farmer,AC Business,6888,Coach-6,S-59,Single,1,2,23.26,Biryani,Walton,6:32,6:34,Male,3
111,Shalimar Express,Sara Iqbal Khan,Male,71,Teacher,Economy,3588,Coach-11,S-83,Married,1,2,29.15,Biryani,Nur Shah,14:03,14:05,Male,4
112,Shalimar Express,Fatima Rizwan Rana,Male,78,Doctor,AC Business,6888,Coach-11,S-77,Married,0,1,32.32,Biryani,Pakpattan,11:20,11:35,Male,2
113,Shalimar Express,Hira Hussain Chaudhry,Male,8,Doctor,AC Business,3588,Coach-1,S-56,Single,2,3,28.78,Karahi,Shahdad Pur,3:27,3:29,Child,5
114,Shalimar Express,Sara Raza Khan,Female,12,Businessperson,Economy,3588,Coach-7,S-2,Married,1,2,20.98,Daal Chaawal,Tando Adam,3:56,3:58,Child,4
115,Shalimar Express,Ayesha Nawaz Siddiqui,Male,43,Student,Economy,3588,Coach-9,S-32,Married,4,3,24.94,Nihari,Nur Shah,14:03,14:05,Male,8
116,Shalimar Express,Sara Fahad Bhatti,Male,43,Engineer,AC Business,3588,Coach-13,S-71,Single,2,0,30.42,Karahi,Nawabshah Jn.,2:26,2:28,Male,2
117,Shalimar Express,Hira Hussain Rana,Female,41,Artist,AC Business,6888,Coach-19,S-93,Married,1,4,26.3,Nihari,Nawabshah Jn.,2:26,2:28,Female,6
118,Shalimar Express,Zain Iqbal Siddiqui,Female,38,Engineer,Economy,6888,Coach-13,S-77,Married,2,1,37.97,Daal Chaawal,Mir Pur Mathelo,20:47,20:49,Female,4
119,Shalimar Express,Noor Nawaz Siddiqui,Female,53,Farmer,AC Business,3588,Coach-6,S-25,Single,0,4,22.01,Nihari,Machhian Wala,13:15,13:17,Female,4
120,Shalimar Express,Bilal Asghar Sheikh,Male,55,Engineer,Economy,6888,Coach-20,S-88,Single,3,4,18.45,Karahi,Rahim Yar Khan,19:32,19:34,Male,7
121,Shalimar Express,Noor Iqbal Sheikh,Female,47,Teacher,AC Business,3588,Coach-3,S-24,Married,1,4,31.36,Daal Chaawal,Rahim Yar Khan,19:32,19:34,Female,6
122,Shalimar Express,Fatima Saeed Chaudhry,Male,41,Teacher,Economy,6888,Coach-15,S-76,Married,2,1,25.23,Paratha Roll,Gagoo,12:38,12:40,Male,4
123,Shalimar Express,Hira Rizwan Chaudhry,Female,5,Engineer,Economy,6888,Coach-20,S-10,Single,1,3,35.57,Karahi,Mandi Ahmadabad,9:41,9:43,Child,4
124,Shalimar Express,Sara Nawaz Rana,Female,56,Farmer,Economy,3588,Coach-20,S-10,Single,0,2,14.51,Daal Chaawal,Mahrabpur,0:11,0:13,Female,2
125,Shalimar Express,Fatima Iqbal Jutt,Female,48,Soldier,Economy,6888,Coach-2,S-10,Single,3,2,44.8,Daal Chaawal,Mir Pur Mathelo,20:47,20:49,Female,5
126,Shalimar Express,Ali Rizwan Siddiqui,Female,46,Doctor,Economy,6888,Coach-2,S-75,Single,4,1,14.15,Biryani,Walton,6:32,6:34,Female,5
127,Shalimar Express,Bilal Murtaza Sheikh,Female,24,Soldier,AC Business,6888,Coach-8,S-17,Single,3,2,47.68,Daal Chaawal,Ghotki,21:21,21:23,Female,5
128,Shalimar Express,Ayesha Rizwan Sheikh,Female,52,Engineer,Economy,6888,Coach-14,S-74,Married,3,0,31.17,Karahi,Basirpur,10:03,10:05,Female,4
129,Shalimar Express,Hira Raza Sheikh,Male,62,Doctor,AC Business,3588,Coach-18,S-80,Married,3,4,13.7,Daal Chaawal,Bahawalpur,16:20,16:25,Male,8
130,Shalimar Express,Hira Saeed Rana,Male,26,Student,Economy,6888,Coach-2,S-45,Single,1,2,25.04,Karahi,Karachi Cantt,8:10,8:25,Male,3
131,Shalimar Express,Ayesha Murtaza Rana,Male,16,Farmer,Economy,6888,Coach-18,S-79,Married,4,0,43.92,Biryani,Mandi Ahmadabad,9:41,9:43,Child,5
132,Shalimar Express,Noor Jamal Rana,Female,57,Police Officer,Economy,6888,Coach-20,S-24,Single,1,4,24.53,Karahi,Vihari,13:35,13:40,Female,5
133,Shalimar Express,Hira Rizwan Chaudhry,Female,47,Engineer,AC Business,3588,Coach-2,S-40,Married,3,2,47.94,Daal Chaawal,Arif Wala,12:10,12:15,Female,6
134,Shalimar Express,Ayesha Nawaz Rana,Female,46,Teacher,Economy,6888,Coach-8,S-93,Married,3,2,15.75,Paratha Roll,Gagoo,12:38,12:40,Female,6
135,Shalimar Express,Hira Asghar Jutt,Male,21,Farmer,AC Business,6888,Coach-8,S-66,Married,4,1,10.8,Biryani,Dera Nawab Sahib,17:43,17:45,Male,6
136,Shalimar Express,Hira Saeed Qureshi,Male,44,Teacher,AC Business,3588,Coach-10,S-4,Single,3,0,23.79,Biryani,Hyderabad Jn,4:50,5:00,Male,3
137,Shalimar Express,Sara Jamal Malik,Female,58,Teacher,AC Business,6888,Coach-10,S-46,Single,0,3,21.79,Biryani,Padidan,1:04,1:06,Female,3
138,Shalimar Express,Ayesha Jamal Jutt,Male,61,Engineer,AC Business,6888,Coach-6,S-91,Single,2,0,40.81,Karahi,Haveli Wasawewala,10:30,10:32,Male,2
139,Shalimar Express,Bilal Jamal Sheikh,Female,67,Businessperson,Economy,6888,Coach-10,S-49,Single,3,3,20.7,Karahi,Sadikabad,19:54,19:56,Female,6
140,Shalimar Express,Noor Rizwan Khan,Male,36,Doctor,Economy,6888,Coach-9,S-39,Married,1,2,43.84,Nihari,Bahawalpur,16:20,16:25,Male,4
141,Shalimar Express,Ahmed Asghar Jutt,Male,11,Lawyer,Economy,3588,Coach-14,S-59,Married,3,1,48.42,Nihari,Murad Chishti,11:53,11:55,Child,5
142,Shalimar Express,Ayesha Fahad Siddiqui,Male,25,Lawyer,Economy,6888,Coach-8,S-9,Married,4,2,20.92,Paratha Roll,Mandi Ahmadabad,9:41,9:43,Male,7
143,Shalimar Express,Sara Saeed Butt,Male,24,Businessperson,AC Business,6888,Coach-8,S-22,Single,4,3,49.25,Biryani,Raiwind Jn.,7:10,7:15,Male,7
144,Shalimar Express,Hira Iqbal Malik,Male,32,Doctor,Economy,6888,Coach-13,S-27,Single,3,4,39.66,Paratha Roll,Pakpattan,11:20,11:35,Male,7
145,Shalimar Express,Sara Asghar Butt,Male,23,Farmer,Economy,6888,Coach-12,S-100,Married,3,2,32,Biryani,Shahdad Pur,3:27,3:29,Male,6
146,Shalimar Express,Bilal Rizwan Butt,Male,6,Soldier,Economy,6888,Coach-4,S-12,Single,3,0,49.4,Nihari,Padidan,1:04,1:06,Child,3
147,Shalimar Express,Amir Raza Sheikh,Male,53,Doctor,AC Business,3588,Coach-4,S-19,Married,0,,42.5,Nihari,Liaquatpur,18:16,18:18,Male,1
148,Shalimar Express,Fatima Asghar Siddiqui,Female,20,Farmer,Economy,6888,Coach-16,S-33,Single,0,0,20.5,Nihari,Drigh Road,7:38,7:40,Female,0
149,Shalimar Express,Ayesha Nawaz Khan,Female,16,Businessperson,Economy,6888,Coach-8,S-61,Married,1,0,28.42,Karahi,Mandi Ahmadabad,9:41,9:43,Child,2
150,Shalimar Express,Fatima Fahad Malik,Female,26,Farmer,Economy,3588,Coach-8,S-97,Married,2,1,25.38,Karahi,Samasata Jn.,16:40,17:05,Female,4
151,Shalimar Express,Ali Jamal Khan,Male,54,Businessperson,Economy,3588,Coach-1,S-90,Married,1,2,26.19,Karahi,Rohri Jn.,22:35,23:00,Male,4
152,Shalimar Express,Ahmed Nawaz Rana,Female,60,Engineer,AC Business,3588,Coach-12,S-74,Single,1,3,20.39,Karahi,Lahore Jn.,-,6:15,Female,4
153,Shalimar Express,Ahmed Nawaz Sheikh,Female,32,Lawyer,Economy,6888,Coach-9,S-68,Single,0,1,44.97,Daal Chaawal,Mahrabpur,0:11,0:13,Female,1
154,Shalimar Express,Ahmed Hussain Butt,Male,21,Soldier,Economy,6888,Coach-7,S-12,Married,4,1,21.9,Nihari,Drigh Road,7:38,7:40,Male,6
